pitch,
X,Y
5.186418743621586,0.08254013198802568
5.613480431334456,0.058312651455210585
6.040542119047326,0.11733597851457489
6.467603806760196,0.11974875641125493
6.894665494473066,0.12216153430793497
7.321727182185936,0.12457431220461501
7.748788869898806,0.12698709010129505
8.175850557611675,0.1293998679979893
8.602912245324546,0.09851232285780043
9.029973933037416,0.10758516536185425
9.457035620750286,0.15661839551013657
9.884097308463156,0.1989915610510593
10.347556299106099,0.29048021053220907
10.720965666203528,0.33914094455204236
11.173047129560182,0.6982305357613967
11.571638038092194,1.437973615988028
11.84469869296315,2.517364537447932
12.009699799579487,3.3653737143400377
12.291172275572059,4.177919321162335
12.485291224532455,5.0561095468201245
12.787562159342214,5.898571162411891
13.054706808149616,6.721123704631957
13.426197188905196,7.536847354259578
13.790996575960799,8.40680963530373
14.20548375685842,9.064641940040957
14.62383497891281,9.851505616477347
15.042484845504065,10.532142949683418
15.453154266415835,11.186076437016801
15.894933469213282,11.802070963148623
16.34631711935472,12.47969705492089
16.761454357345738,12.93050267057157
17.19221354884833,13.623680181884815
17.589597903512114,14.061633728441834
18.048185676168927,14.758824290255369
18.454911093038326,15.225106674946794
18.8728263240082,15.703754202775613
19.31827822793837,16.374349590140667
19.747027906511768,16.76125011012477
20.162695655916096,17.257710156549734
20.612404554341012,18.035593406164367
21.02652497878985,18.263952979524838
21.46283042597703,18.793500734881164
21.888114467637152,19.170123473406882
22.237827220302727,20.03807842151634
22.64282064855483,20.635449134811715
23.081597585117237,21.102683766910886
23.50865927283011,21.7693269883162
23.93572096054298,21.98663785087743
24.344017816523014,22.38577346229824
24.76978537790948,22.732504268947913
25.025375327374,22.862154523653757
