pm,
X,Y
5.017167381974248,4.987124463519313
5.422620834201566,5.077008863297871
5.833480921436875,5.381649936988305
6.146301297648338,5.651752430136335
6.439556932136534,5.907343922431478
6.810907572699793,6.24983652210697
7.201869800934319,6.598595235787117
7.553763211224974,6.907654819293035
7.886061429926161,7.207562578397417
8.257429871949661,7.5469221210705815
8.628911681167324,7.866329037571029
8.980752858225957,8.184581669912724
9.33265025042219,8.492940438036541
9.684557011808028,8.799650228790714
10.055974173617447,9.13043508914172
10.466705477082979,9.457742106313107
10.898200097145,9.588610946649565
11.330369298858244,9.600753416371504
11.76235452375752,9.645275805351949
12.184450036693395,9.701434727815919
12.79935440052364,9.710710225520177
13.319012051337104,9.712565325061028
13.710916585815681,9.722582862581628
14.19827653200938,9.70328982735677
14.679632701507234,9.70328982735677
15.141285465275736,9.713183691574645
15.573725521742876,9.677655724610453
16.005986711863102,9.67360823470314
16.43820190777984,9.677655724610453
16.87048609500181,9.669560744795827
17.30283160782844,9.650672458561699
17.735230780559142,9.622340029210507
18.167514967781116,9.614245049395882
18.59976849220076,9.611546722791005
19.059260019796195,9.602829052221407
19.46419888403423,9.619641702605632
19.871940372630252,9.608679750773327
20.362001355801535,9.682088689747035
20.72372619135366,9.681028632866548
21.192791368180796,9.683052377820204
21.65224161892694,9.681599432725271
22.057192119305352,9.696364122404256
22.495386749956428,9.740001270902049
22.908760572830026,9.66288988180044
23.17146796462657,9.531796180913577
23.590392539223078,9.569722660415437
24.02263073224156,9.569722660415437
24.45486892526004,9.569722660415437
24.769223974728025,9.569722660415437
