ws (m/s),Fx_mean (N),Fy_mean (N),Fz_mean (N),Mx_mean (Nm),My_mean (Nm),Mz_mean (Nm)
4.2,445454.5454545454,629.6296296296296,1074.074074074074,1000000.0,14285.714285714319,14545.454545454588
6.3,681818.1818181818,1962.9629629629628,703.7037037037026,3266666.7,7142.857142857043,3636.3636363637634
8.4,1109090.9090909092,388.88888888888823,666.666666666667,6200000.0,13095.23809523799,18181.81818181812
10.5,1381395.3488372094,1537.037037037037,777.7777777777765,8666666.7,52380.95238095231,21818.18181818188
12.6,1172304.4397463005,1796.296296296296,74.0740740740739,10000000.0,30952.380952380947,36363.63636363647
14.7,935940.803382664,1277.7777777777774,1814.8148148148139,10000000.0,52380.95238095231,29090.909090909176
18.9,726427.0613107824,203.70370370370347,2592.592592592592,10000000.0,72619.04761904757,94545.4545454547
21.0,653699.7885835096,2981.4814814814813,5259.259259259259,10000000.0,170238.09523809538,274545.4545454546
