Default Dataset,
X,Y
0.021895311715409704,0.007814379602747355
0.021505169039917726,0.007104319933352084
0.02823513019215307,0.006335305370771371
0.027844987516661313,0.0056252457013761005
0.027454844841169335,0.00491518603198083
0.027064702165677357,0.004205126362585559
0.02422533047181963,0.003376651166314134
0.04470565347583655,0.0024660437119873035
0.05833463760635382,0.001235707110230494
0.10566451761031481,0.00034450977007112124
0.19660336925999378,0.00034444784266231265
0.2823914086820476,0.00026815327501056654
0.3681902854006427,0.00021158258706423932
0.45399999941577907,0.000174735778823331
0.5398097134309159,0.00013788897058243307
0.6256411020391353,0.00014048992175237987
0.7115050025369791,0.00020226251203859721
0.797352647090011,0.00023444928276667928
0.8832978273119152,0.00044415097084357993
0.9536470540810309,0.0009078138660726237
1.0035500179209746,0.0017241905109098843
1.078917222625821,0.0012784679860125825
1.1698901343503452,0.0013403953948208196
1.2558082213308959,0.0015007873836341626
1.3417967507389665,0.0017893845905327596
1.4277419309608712,0.0019990862786096603
1.513638343348339,0.002120030508012148
1.599496825197912,0.0021719411584456526
1.6853173765095901,0.002154818229910177
1.7711325091729972,0.0021278333615219885
1.8569693164294874,0.0021402962525446483
1.942860310168685,0.0022513785420944232
2.0288109090388606,0.002470942170024037
2.1147235773711404,0.0026214722189846634
2.200598315165526,0.0027029686889763066
2.2866031005184086,0.003021151715433039
2.3727270961332465,0.0035562974186494345
2.4589106968790633,0.004199924460245669
2.5307971941625826,0.004857910919759314
2.5955755086445698,0.005596548540134364
2.6674983108715025,0.006320609996661175
2.7308054623479894,0.006985239718954723
2.7786806131865074,0.007830294946811072
2.8289523547459035,0.008573987391930098
2.848056341089157,0.009497628501564104
2.884274586130656,0.010327115178846064
2.9347763880137747,0.011117587588578833
2.959682662925317,0.01218735880477764
3.0082532585647503,0.01322365963268024
3.0220924862481717,0.013822360059391893
3.0426400004907452,0.012166204401928747
3.0565009027672496,0.011357958825868014
3.0774033384715564,0.01034776022875751
3.1126446012298437,0.009399139150595481
3.1551311385909124,0.00861937398984566
3.18894350380021,0.007673668144453277
3.2199663488797428,0.006858053206744361
3.2610386190421523,0.006107830516366507
3.310769889141175,0.005495935079043623
3.3318007468094977,0.00471946445644239
3.402904249417897,0.003952400607239139
3.474032135943515,0.0032297154873730874
3.545203371655299,0.0025859258863287354
3.63081801433269,0.0021940492433902004
3.7164380756583513,0.0018120345403043747
3.802025625094388,0.001370848198102275
3.8877323847923804,0.0011466245326598457
3.9734933309730818,0.001021020265744528
4.059178416077991,0.0007573488408912504
4.144955618203504,0.0006613303935340785
4.230787006811724,0.0006639313447040218
4.316585883530317,0.0006073606567576946
4.402406434841996,0.0005902377282222156
4.488254079395027,0.0006224244989502976
4.5741125612446005,0.000674335149383809
4.659943949852821,0.0006769361005537523
4.745829524943748,0.0007781564502508179
4.831736774627757,0.0009188245593587351
4.91767111755312,0.0011088023677302099
5.003567529940588,0.0012297465971327047
5.089474779624597,0.001370414706240615
5.175441634439585,0.0016195641537283673
5.261381396013219,0.001819403901952555
5.347331994883394,0.0020389675298821686
5.43321215132605,0.0021303259397265246
5.519211518030662,0.0024386470263305406
5.605162116900837,0.002658210654260154
5.691204832791614,0.00304542725968587
5.777187943551414,0.0033241625267317575
5.863176472959486,0.0036127597336303545
5.949154165071013,0.0038816330608235222
6.034953041789608,0.0038250623728771985
6.120443055556773,0.0032063611133262837
6.206095628772058,0.002883518049356732
6.291748201987344,0.0025606749853871805
6.377384519257818,0.0022082461018594866
6.463058767066187,0.0019248507973007832
6.548711340281471,0.0016020077333312316
6.634418099979465,0.0013777840678887987
6.720124859677458,0.0011535604024463693
6.8058587126168035,0.000978646436267494
6.891614240149233,0.0008431802294994704
6.977391442274746,0.0007471617821422985
7.063195737641612,0.0007004530340486807
7.149021707601559,0.0006931920453659181
7.2348260029684255,0.0006464832972723003
7.3206465542801045,0.0006293603687368282
7.406483361536592,0.0006418232597594845
7.492325587441355,0.0006641480906348571
7.578211162532282,0.0007653684403319226
7.664042551140501,0.0007679693915018659
7.749911870286615,0.0008396039216407962
7.835819119970626,0.0009802720307487134
7.921731788302905,0.00113080207970934
8.007639037986914,0.0012714701888172607
8.093557124967466,0.0014318621776305933
8.179458956003204,0.0015626683468857976
8.265447485411276,0.0018512655537843946
8.351376409688367,0.00203138142230316
8.437294496668919,0.0021917734111164995
8.523250514187364,0.0024211989788988225
8.609233624947164,0.0026999342459447066
8.695167967872528,0.0028899120543161815
8.781021031073829,0.0029319607648969764
8.86693911805438,0.0030923527537103195
8.953095625558845,0.003686670096042989
9.038927014167063,0.003689271047212936
9.12444412117558,0.0031198794869255787
9.210248416542447,0.003073170738831968
9.295955176240438,0.0028489470733895315
9.381634842697078,0.002575413708683541
9.467357858339884,0.0023807758627992434
9.553113385872312,0.0022453096560312233
9.638944774480532,0.00224791060720117
9.724635278233714,0.001994101122200602
9.810417899007495,0.001907944614696136
9.89620593842955,0.001831650047044383
9.981977721906793,0.001725769659834498
10.067754924032302,0.0016297512124773227
10.153575475343981,0.001612628283941847
10.239417701248742,0.0016349531148172128
10.32523825256042,0.0016178301862817372
10.411107571706536,0.001689464716420671
10.496971472204379,0.0017512373067068883
10.582792023516056,0.0017341143781714093
10.66865050536563,0.0017860250286049172
10.754574010994451,0.001956278957270966
10.840465004733648,0.0020673612468207446
10.926399347659013,0.002257339055192223
11.012246992212043,0.0022895258259203084
11.098094636765074,0.002321712596648387
11.183985630504273,0.0024327948861981655
11.269876624243471,0.0025438771757479474
11.355745943389586,0.0026155117058868776
11.44162609983224,0.0027068701157312303
11.527462907088731,0.00271933300675389
11.613348482179658,0.0028205533564509555
11.69913652160171,0.002744258788799206
11.784973328858202,0.0027567216798218656
11.870783042873338,0.0027198748715809608
11.956646943371181,0.002781647461867178
12.042510843869026,0.002843420052153399
12.12821760356702,0.002619196386710966
12.213951456506365,0.0024442824205320977
12.299723239983607,0.002338402033322213
12.385549209943555,0.0023311410446394433
12.471315574772525,0.002215398717576842
12.55702775311879,0.002001036991987122
12.642750768761596,0.001806399146102828
12.72855506412846,0.0017596903980092171
12.814283498419536,0.001574914491977629
12.900044444600237,0.0014493102250623217
12.98583790267056,0.0013828775972632781
13.071620523444343,0.0012967210897588156
13.157473586645647,0.0013387698003396176
13.243288719309053,0.0013117849319514222
13.329109270620732,0.0012946620034159431
13.414886472746245,0.0011986435560587712
13.500755791892358,0.0012702780861977014
13.586581761852306,0.0012630170975149388
13.672407731812257,0.0012557561088321657
13.758249957717016,0.0012780809397075384
13.844054253083883,0.001231372191613924
13.929880223043831,0.001224111202931158
14.015771216783028,0.0013351934924809399
14.101586349446436,0.001308208624092748
14.187363551571949,0.001212190176735569
14.27329247584904,0.0013923060452543344
14.359140120402072,0.0014244928159824165
14.444938997120667,0.0013679221280360927
14.530754129784075,0.0013409372596478973
14.616639704875,0.0014421576093449698
14.702444000241867,0.0013954488612513555
14.788280807498358,0.0014079117522740117
14.874128452051389,0.0014400985230020938
14.952785550349175,0.001403034968830364
