GB1,GB2,GB3
0.003853211009174309,0.0813397129186603,0.07177033492822953
0.004844036697247704,0.0717703349282295,0.11004784688995264
0.002752293577981650,0.0478468899521532,0.11004784688995264
0.001871559633027522,0.1531100478468898,0.13397129186602894
0.004348623853211006,0.0909090909090910,0.19138755980861227
0.001211009174311923,0.1435406698564597,0.334928229665072
0.002587155963302749,0.1387559808612443,1.1961722488038278
0.001761467889908257,0.1770334928229667,0.18181818181818216
0.001926605504587158,0.9282296650717704,0.2488038277511963
Nan,Nan,0.08133971291866031
Nan,Nan,0.09090909090909108
