ws,pitch
3.234742193596267,1.850811880539787
3.469858577994919,1.8017618180594468
3.6836138915516043,1.7720695632561032
3.9400324530636865,1.6369154674251476
4.172693529875058,1.497246964757366
4.431416483795048,1.2816741058251608
4.666351980313198,1.0276177787757916
4.903642291151683,0.7502875227088666
5.136159872926067,0.44799131145531845
5.371036475715681,0.1271887587323164
5.595294959919823,-0.11319580990700473
5.841012636124366,-0.26173420666348335
6.097444343557996,-0.3819895914065725
6.332623828380078,-0.3595258406651496
6.532163492932538,-0.3479060145429784
6.803041691752779,-0.24785211350867087
7.03820434979528,-0.24445871295971955
7.2733670078377815,-0.24106531241076112
7.508529665880283,-0.2376719118618098
7.7436965306176795,-0.22951092376472815
8.085834037618502,-0.13081251330783772
8.32100230458753,-0.1210623293613935
8.556118688986183,-0.17011239184172666
8.789055584759527,-0.26639242014431375
9.026195810072357,-0.4446132560827252
9.256424015002557,-0.6494730653479905
9.487588630216472,-0.8698932832278103
9.731094846914505,-1.1018953111722354
9.96614392419483,-1.2272267744224337
10.147793216472982,-1.3008860020408406
10.353022065470658,-1.2796190427685588
10.635378601713798,-1.2755446338761587
10.970914402192111,-1.230208853692723
11.185556802534865,-0.25453608428691865
11.37894464321335,0.8612071608544696
11.593752039478114,2.0238753085364323
11.82988644404145,3.1285814327004005
12.065945128096672,4.147470980998275
12.301835544356077,4.975657027371465
12.537683893666529,5.75616719826348
12.773475452595891,6.472314937255923
13.015662449774725,7.168054597079163
13.244951299734785,7.783036932763821
13.480652414723897,8.396681539471746
13.699650146515015,8.924269632901016
13.958390768553567,9.536339689289946
14.187583285200521,10.04214427012273
14.418915326871272,10.549886735070661
14.654503702437188,11.035759995489052
14.894379541440493,11.535044199233965
15.12353335649441,11.996986974624075
15.365508336250516,12.452440222022219
15.609637985132046,12.926994668708726
15.836607684196272,13.336463131973645
16.065720273640213,13.751683549392204
16.299119905852056,14.179838151382484
16.543216976218673,14.617470281168575
16.787288339005375,15.025967153716177
17.00996174057293,15.412012739803522
17.27331430244847,15.866820960651037
17.513085815418364,16.247868993202655
17.76356420823603,16.649095138935863
17.99262884135816,17.009965058305887
18.23239109959929,17.380524398251648
18.472167239933576,17.766816777106193
18.707644558754254,18.1268257262543
18.947397562266612,18.4868963735942
19.18120543084752,18.83930616211904
19.409777693702676,19.180569143992162
19.647385282818384,19.532027284649555
19.872139315681203,19.85326452917841
20.118312156273426,20.22057910512819
20.358031085557133,20.542032293328347
20.58444339754772,20.858208104880468
20.82465829615959,21.203347166590916
21.06010700945498,21.53093652041182
21.29555572275037,21.858525874232733
21.526245729297976,22.17704123136075
21.75785971300883,22.465905310009777
21.99234986076072,22.783945778025164
22.226593215745414,23.091494125757368
22.47273618880388,23.424958830115514
22.72955911886278,23.7480890873473
22.965001288410555,24.068262193871135
23.22181435610698,24.38021510696234
23.47864233419976,24.709066469251866
23.735455588860397,25.021231275122982
23.96874500566598,25.324475083352596
24.19986797460043,25.595268447159114
24.433142667973875,25.881825698970314
24.655714267524967,26.15249566639323
