Upper,,Lower,
X,Y,X,Y
0.031039348716248583,0.0016609920031398738,121.11531605649253,0.000655701399016901
0.2622336123204736,0.00247485649806211,123.55710955710956,0.0006671528115378342
0.492821005570967,0.0032211156355786696,125.9989030577266,0.0005927186301517839
0.7462905233127923,0.005382753601857759,128.44069655834363,0.0005440501269378221
0.6872373696612328,0.004472681482935125,130.88249005896066,0.0005325987144168959
0.6313741755613407,0.003917970858067998,133.32428355957768,0.0005497758331982905
0.876829892478252,0.007454251091595938,135.7660770601947,0.0004896559174634024
0.8086114404075193,0.006656854568349444,138.20787056081173,0.0003865932047750209
0.753681893005675,0.006206152185644902,140.64966406142878,0.00038373035164478847
0.9797800017163851,0.008719684704574071,143.0914575620458,0.00038086749851455257
0.8213712786141816,0.008078300544571457,145.53325106266283,0.00038373035164478847
1.1825758449216384,0.010054457145660601,147.97504456327988,0.0003665532328633904
0.9352761757760799,0.009430407692685081,150.41683806389688,0.00037227893912385526
1.2600918620271013,0.011604179953883138,152.85863156451393,0.0003207475827796645
1.4186134007719868,0.01084101947701516,155.30042506513095,0.00032647328904013284
1.617460696483409,0.009846440661335425,157.74221856574798,0.0003493761140819923
1.6445364507268128,0.009083713552143127,160.18401206636503,0.0003751417922540877
1.638934570538522,0.008459664099167607,162.62580556698205,0.00038086749851455257
1.6334882981332406,0.007852949353219188,165.06759906759908,0.00046389023929130704
1.7482957204365857,0.0070382181229455935,167.30590977649803,0.000589855777021548
1.7205664135045495,0.00621655300986116,168.32332373508845,0.0007673526710959833
1.8668221687538242,0.005504096551047444,170.270944741533,0.0009260365303146029
2.1689035579073668,0.004515440426935299,171.26457499719533,0.0012706943032660088
2.4568535373954514,0.005641536013905147,171.57904840257783,0.0015517744287797744
2.4144059571591825,0.0041519894029338165,173.00342794460443,0.001296980500189053
2.7272554048968836,0.008771688825655367,174.11333408124852,0.001953094385763316
2.6764572441339034,0.007836481381543445,174.02084190319485,0.0016662885539890857
2.644160848770582,0.007072887536999788,174.02084190319485,0.0014658888348727875
2.6390257919313154,0.006500842205105564,174.02084190319485,0.0024793388429752046
2.5215419157602312,0.00475003679536869,174.02084190319485,0.0022732134175984416
3.033284044812733,0.010112239502417592,176.14816199842937,0.0012738174157717122
3.021509722565124,0.009430407692685081,175.44522144522145,0.001981202398314695
3.039949244851579,0.011484570475396163,176.46263540381187,0.0014315345973099948
3.03434736466329,0.010860521022420643,177.6835321541204,0.0009299627288932091
3.3307335089587387,0.008733552470195752,177.48004936240233,0.001191054934370439
3.380496877964715,0.009742432419172841,178.90442890442893,0.0006671528115378342
3.4906671883344202,0.007844281999705636,181.14273961332788,0.0004661805217954923
3.4586119850347607,0.007107556951053983,183.3810503222268,0.00032361043590989694
3.579130212974503,0.006362164548888782,185.82284382284382,0.0002749419326959421
3.521477529370017,0.005608104793210028,188.26463732346087,0.00031788472964943207
3.667593237614584,0.004880047098071924,190.7064308240779,0.0003293361421703618
3.5861325632098655,0.0043080017661776965,193.14822432469492,0.00037227893912385526
3.7315480364308957,0.003501937889417654,195.59001782531197,0.00042953600172851436
3.8763799804656465,0.00263086886130599,198.03181132592897,0.00046102738616107114
